seller;data;tipo;sku;quantity;nf;observ
PURPOSE;22/11/2023;Saída;BBL-JOU-VD;1;244271895;
PURPOSE;22/11/2023;Saída;BBL-JOU-VD;1;244271894;
PURPOSE;22/11/2023;Saída;BBL-JOU-VD;1;244271902;
PURPOSE;22/11/2023;Saída;6157;1;244271934;
PURPOSE;22/11/2023;Saída;6157;1;244271910;
PURPOSE;22/11/2023;Saída;6157;1;244271895;
PURPOSE;22/11/2023;Saída;6157;1;244271877;
PURPOSE;22/11/2023;Saída;6157;1;244271791;
PURPOSE;22/11/2023;Saída;6157;1;244271748;
PURPOSE;22/11/2023;Saída;6157;1;244271738;
PURPOSE;22/11/2023;Saída;6157;1;244271736;
PURPOSE;22/11/2023;Saída;6157;1;244271735;
PURPOSE;22/11/2023;Saída;6157;1;244271733;
PURPOSE;22/11/2023;Saída;6157;1;244271732;
PURPOSE;22/11/2023;Saída;6157;1;244271730;
PURPOSE;22/11/2023;Saída;6157;1;244271737;
PURPOSE;22/11/2023;Saída;BBL-ANT-MR;1;244271940;
PURPOSE;22/11/2023;Saída;BBL-ANT-MR;2;244271934;
PURPOSE;22/11/2023;Saída;BBL-ANT-MR;1;244271932;
PURPOSE;22/11/2023;Saída;BBL-ANT-MR;1;244271926;
PURPOSE;22/11/2023;Saída;BBL-ANT-MR;1;244271905;
PURPOSE;22/11/2023;Saída;BBL-ANT-MR;1;244271898;
PURPOSE;22/11/2023;Saída;BBL-ANT-MR;1;244271871;
PURPOSE;22/11/2023;Saída;BBL-ANT-MR;1;244271791;
PURPOSE;22/11/2023;Saída;BBL-ANT-MR;1;244271748;
PURPOSE;22/11/2023;Saída;BBL-ANT-MR;1;244271738;
PURPOSE;22/11/2023;Saída;BBL-ANT-MR;1;244271735;
PURPOSE;22/11/2023;Saída;BBL-ANT-MR;1;244271720;
PURPOSE;22/11/2023;Saída;BBL-ANT-MR;1;244271717;
PURPOSE;22/11/2023;Saída;BBL-ANT-MR;1;244271788;
PURPOSE;22/11/2023;Saída;BBL-ANT-MR;1;244271724;
PURPOSE;22/11/2023;Saída;BBL-ANT-MR;1;244271716;
PURPOSE;22/11/2023;Saída;St-not;1;244271748;
PURPOSE;22/11/2023;Saída;St-not;1;244271732;
PURPOSE;22/11/2023;Saída;St-not;2;244271730;
PURPOSE;22/11/2023;Saída;MRC-TXT-JOC;1;244271910;
PURPOSE;22/11/2023;Saída;MRC-TXT-JOC;1;244271905;
PURPOSE;22/11/2023;Saída;MRC-TXT-JOC;1;244271748;
PURPOSE;22/11/2023;Saída;MRC-TXT-JOC;1;244271735;
PURPOSE;22/11/2023;Saída;MRC-TXT-JOC;1;244271732;
PURPOSE;22/11/2023;Saída;MRC-TXT-JOC;1;244271730;
PURPOSE;22/11/2023;Saída;MRC-TXT-JOC;1;244271892;
PURPOSE;22/11/2023;Saída;MRC-TXT-JOC;1;244271716;
PURPOSE;22/11/2023;Saída;MRC-TXT-JOC;1;244271713;
PURPOSE;22/11/2023;Saída;PL-2024-JN;1;244271934;
PURPOSE;22/11/2023;Saída;PL-2024-JN;1;244271901;
PURPOSE;22/11/2023;Saída;PL-2024-JN;1;244271896;
PURPOSE;22/11/2023;Saída;PL-2024-JN;1;244271889;
PURPOSE;22/11/2023;Saída;PL-2024-JN;1;244271885;
PURPOSE;22/11/2023;Saída;PL-2024-JN;1;244271791;
PURPOSE;22/11/2023;Saída;PL-2024-JN;1;244271748;
